Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	I barely got up in time to eat lunch, let alone cook breakfast. I would have needed to get up earlier in order to cook breakfast than to eat lunch.	I barely got up in time to eat lunch, alone let cook breakfast. I would have needed to get up earlier in order to cook breakfast than to eat lunch.	tensor(149.3091)	tensor(156.2919)	Y
2	I doubt you could get Fred to eat shrimp, let alone Louise squid. It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid.	I doubt you could get Fred to eat shrimp, alone let Louise squid. It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid.	tensor(207.5287)	tensor(211.8426)	Y
3	I was too young to serve in World War Two, let alone World War One. I would've needed to be even older to have served in World War One than to have served in World War Two.	I was too young to serve in World War Two, alone let World War One. I would've needed to be even older to have served in World War One than to have served in World War Two.	tensor(187.9788)	tensor(196.4415)	Y
4	Look, around here you can get arrested for going barefoot, let alone for walking around naked. Going barefoot is generally less likely to be a crime than walking around naked.	Look, around here you can get arrested for going barefoot, alone let for walking around naked. Going barefoot is generally less likely to be a crime than walking around naked.	tensor(202.1327)	tensor(211.6108)	Y
5	Don't worry. Little Seymour's parents let him drink whiskey, let alone coke. Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke.	Don't worry. Little Seymour's parents let him drink whiskey, alone let coke. Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke.	tensor(233.1701)	tensor(241.6169)	Y
6	I doubt you could get Fred to eat squid, let alone Louise. Louise is even less likely to eat squid than Fred is.	I doubt you could get Fred to eat squid, alone let Louise. Louise is even less likely to eat squid than Fred is.	tensor(158.3512)	tensor(166.5609)	Y
7	I doubt you could get Fred, let alone Louise, to eat squid. Louise is even less likely to eat squid than Fred is.	I doubt you could get Fred, alone let Louise, to eat squid. Louise is even less likely to eat squid than Fred is.	tensor(160.8977)	tensor(163.1604)	Y
8	My observations warrant the inference that Fred will not eat shrimp, let alone squid. Fred is even less likely to eat squid than he is to eat shrimp.	My observations warrant the inference that Fred will not eat shrimp, alone let squid. Fred is even less likely to eat squid than he is to eat shrimp.	tensor(203.1203)	tensor(212.5883)	Y
9	I doubt he made Colonel in World War II, let alone General. It is even less likely that he made General in World War Two than he made Colonel.	I doubt he made Colonel in World War II, alone let General. It is even less likely that he made General in World War Two than he made Colonel.	tensor(177.5959)	tensor(180.7486)	Y
10	He doesn't like shrimp, let alone squid. Liking shrimp is more common than liking squid.	He doesn't like shrimp, alone let squid. Liking shrimp is more common than liking squid.	tensor(139.9345)	tensor(146.2307)	Y
11	Who could imagine such a thing, let alone do it? Doing such a thing would be even more unbelievable than imagining it.	Who could imagine such a thing, alone let do it? Doing such a thing would be even more unbelievable than imagining it.	tensor(130.2611)	tensor(141.0225)	Y
12	I don't even want to read an article about, let alone a book written by, that swine. I would want to read a book written by that swine even less than I would want to read an article about them.	I don't even want to read an article about, alone let a book written by, that swine. I would want to read a book written by that swine even less than I would want to read an article about them.	tensor(188.2145)	tensor(197.3839)	Y
13	You couldn't get John to touch it, let alone Lucille to eat it. Getting Lucille to eat it would be even more challenging than getting John to touch it.	You couldn't get John to touch it, alone let Lucille to eat it. Getting Lucille to eat it would be even more challenging than getting John to touch it.	tensor(185.9532)	tensor(191.8273)	Y
14	Max won't eat shrimp, let alone squid. Max is even less likely to eat squid than he is to eat shrimp.	Max won't eat shrimp, alone let squid. Max is even less likely to eat squid than he is to eat shrimp.	tensor(137.3366)	tensor(143.4972)	Y
15	Max won't touch the shrimp, let alone clean the squid. Max is even less willing to clean the squid than he is to touch the shrimp.	Max won't touch the shrimp, alone let clean the squid. Max is even less willing to clean the squid than he is to touch the shrimp.	tensor(154.6846)	tensor(162.2743)	Y
16	They couldn't make John eat the shrimp, let alone Lucille the squid. Getting John to eat the shrimp would be easier than getting Lucille to eat the squid.	They couldn't make John eat the shrimp, alone let Lucille the squid. Getting John to eat the shrimp would be easier than getting Lucille to eat the squid.	tensor(215.6677)	tensor(222.5668)	Y
17	He wouldn't give a nickel to his mother, let alone ten dollars to a complete stranger. He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother.	He wouldn't give a nickel to his mother, alone let ten dollars to a complete stranger. He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother.	tensor(175.1978)	tensor(181.4963)	Y
18	Shrimp Moishe won't eat, let alone squid. Moishe is less likely to eat squid than shrimp.	Shrimp Moishe won't eat, alone let squid. Moishe is less likely to eat squid than shrimp.	tensor(155.2692)	tensor(161.6698)	Y
19	They've broken up Penutian, let alone Macro-Penutian.  Breaking up Penutian is more fine-grained than breaking up Macro-Penutian.	They've broken up Penutian, alone let Macro-Penutian.  Breaking up Penutian is more fine-grained than breaking up Macro-Penutian.	tensor(222.1488)	tensor(226.8976)	Y
20	Penutian they've broken up, let alone Macro-Penutian.  Breaking up Penutian is more fine-grained than breaking up Macro-Penutian.	Penutian they've broken up, alone let Macro-Penutian.  Breaking up Penutian is more fine-grained than breaking up Macro-Penutian.	tensor(224.3893)	tensor(229.8413)	Y
21	Max won't eat shrimp, let alone Rabbi Feldstein.  Rabbi Feldstein is even less likely to eat shrimp than Max is.	Max won't eat shrimp, alone let Rabbi Feldstein.  Rabbi Feldstein is even less likely to eat shrimp than Max is.	tensor(185.1544)	tensor(189.6372)	Y
22	Minnie wasn't born by 1941, let alone Meg.  Minnie is older than Meg.	Minnie wasn't born by 1941, alone let Meg.  Minnie is older than Meg.	tensor(119.1894)	tensor(121.4796)	Y
23	John won't do it for you, let alone Bill.  Bill is even less likely to do it for you than John is.	John won't do it for you, alone let Bill.  Bill is even less likely to do it for you than John is.	tensor(114.2627)	tensor(122.2883)	Y
24	John wasn't there, let alone Louise. It was more likely that John would be there than Louise.	John wasn't there, alone let Louise. It was more likely that John would be there than Louise.	tensor(102.6839)	tensor(107.4989)	Y
25	I didn't want Fred to do it, let alone Sue.  It would be even less preferable for Sue to do it than Fred.	I didn't want Fred to do it, alone let Sue.  It would be even less preferable for Sue to do it than Fred.	tensor(132.6004)	tensor(138.2655)	Y
26	Louise surely didn't understand it, let alone Susan.  Louise was more likely to understand it than Susan.	Louise surely didn't understand it, alone let Susan.  Louise was more likely to understand it than Susan.	tensor(118.9092)	tensor(125.1438)	Y
27	I bet Louise, let alone Susan, couldn't pass that test.  Louise is more likely to past that test than Susan is.	I bet Louise, alone let Susan, couldn't pass that test.  Louise is more likely to past that test than Susan is.	tensor(160.0699)	tensor(163.2903)	Y
28	He doesn't get up for lunch, let alone breakfast. He would need to get up even earlier for breakfast than for lunch.	He doesn't get up for lunch, alone let breakfast. He would need to get up even earlier for breakfast than for lunch.	tensor(118.5551)	tensor(125.5495)	Y
29	John hardly speaks Russian let alone Bulgarian.  It would be less likely that John speaks Bulgarian than that John speaks Russian.	John hardly speaks Russian alone let Bulgarian.  It would be less likely that John speaks Bulgarian than that John speaks Russian.	tensor(170.7010)	tensor(179.9816)	Y
30	The latest results dissolved Penutian let alone didn't support Macro-Penutian. The existence of Macro-Penutian is more contested than the existence of Penutian.	The latest results dissolved Penutian alone let didn't support Macro-Penutian. The existence of Macro-Penutian is more contested than the existence of Penutian.	tensor(216.4715)	tensor(223.4731)	Y
31	He didn't reach Denver, let alone Chicago.  He was further away from Chicago than Denver.	He didn't reach Denver, alone let Chicago.  He was further away from Chicago than Denver.	tensor(124.7304)	tensor(130.1305)	Y
32	I'm too tired to get up, let alone go running with you.  Going running would require more energy than getting up.	I'm too tired to get up, alone let go running with you.  Going running would require more energy than getting up.	tensor(133.1963)	tensor(138.5860)	Y
33	She gave me more candy than I could carry, let alone eat. I could carry more candy than I could eat.	She gave me more candy than I could carry, alone let eat. I could carry more candy than I could eat.	tensor(98.1554)	tensor(107.3809)	Y
34	Only a linguist would buy that book, let alone read it.  Reading that book is less likely than buying it.	Only a linguist would buy that book, alone let read it.  Reading that book is less likely than buying it.	tensor(125.0456)	tensor(134.3078)	Y
35	I barely got up in time for lunch, let alone breakfast.  I needed to get up earlier for breakfast than for lunch.	I barely got up in time for lunch, alone let breakfast.  I needed to get up earlier for breakfast than for lunch.	tensor(122.3373)	tensor(129.7132)	Y
36	I had all I could do to get out of bed, let alone do my morning calisthenics. Doing my morning calisthenics requires more energy than getting out of bed.	I had all I could do to get out of bed, alone let do my morning calisthenics. Doing my morning calisthenics requires more energy than getting out of bed.	tensor(187.8284)	tensor(197.5205)	Y
37	 It would surprise me if John could pass the test, let alone Bill.  John would be more likely to pass the test than Bill.	 It would surprise me if John could pass the test, alone let Bill.  John would be more likely to pass the test than Bill.	tensor(142.2388)	tensor(151.6958)	Y
38	He failed to reach the sixth grade, let alone get a B.A.  Getting a B.A. requires more schooling than reaching sixth grade.	He failed to reach the sixth grade, alone let get a B.A.  Getting a B.A. requires more schooling than reaching sixth grade.	tensor(178.6868)	tensor(188.4058)	Y
39	Anyone who'd been to high school, let alone graduate students in math, should be able to solve that problem. Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school.	Anyone who'd been to high school, alone let graduate students in math, should be able to solve that problem. Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school.	tensor(250.5618)	tensor(260.8811)	Y
40	You've got enough material there for a whole semester, let alone a week. You need more material for a semester than a week.	You've got enough material there for a whole semester, alone let a week. You need more material for a semester than a week.	tensor(133.0529)	tensor(145.2886)	Y
41	Penutian has been broken up, let alone Macro-Penutian. Breaking up Penutian requires breaking up Macro-Penutian	Penutian has been broken up, alone let Macro-Penutian. Breaking up Penutian requires breaking up Macro-Penutian	tensor(183.4768)	tensor(190.0302)	Y
42	You'd never get a poor man to wash a car for $2 in bad times, let alone a rich man to wax a truck for $1 in prosperous times. It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times.	You'd never get a poor man to wash a car for $2 in bad times, alone let a rich man to wax a truck for $1 in prosperous times. It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times.	tensor(299.1667)	tensor(307.2831)	Y
43	You'd never get a poor man, let alone a rich man, to wash, let alone wax, a car, let alone a truck, for $2, let alone $1, in bad times, let alone in prosperous times. It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times.	You'd never get a poor man, alone let a rich man, to wash, alone let wax, a car, alone let a truck, for $2, alone let $1, in bad times, alone let in prosperous times. It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times.	tensor(373.6830)	tensor(414.5797)	Y
44	You couldn't get a poor man to wash your car for two dollars, let alone a rich man to wax your truck for one dollar. It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars.	You couldn't get a poor man to wash your car for two dollars, alone let a rich man to wax your truck for one dollar. It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars.	tensor(240.3416)	tensor(248.5993)	Y
45	You couldn't get a poor man, let alone a rich man, to wash, let alone wax, your car, let alone your truck, for two dollars, let alone for one dollar. It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars.	You couldn't get a poor man, alone let a rich man, to wash, alone let wax, your car, alone let your truck, for two dollars, alone let for one dollar. It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars.	tensor(292.6793)	tensor(328.7216)	Y
