Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	Wes sits on the chair more than Fred does. Wes did not sit on the chair, let alone Fred.	Wes sits on the chair less than Fred does. Wes did not sit on the chair, let alone Fred.	2.8494060039520264	2.924206495285034	Y
2	Wes sits on the chair less than Fred does. Fred did not sit on the chair, let alone Wes.	Wes sits on the chair more than Fred does. Fred did not sit on the chair, let alone Wes.	3.033687114715576	2.955202579498291	N
3	Wes sits on the table more than Fred does. Wes did not sit on the table, let alone Fred.	Wes sits on the table less than Fred does. Wes did not sit on the table, let alone Fred.	2.8554329872131348	2.9176433086395264	Y
4	Wes sits on the table less than Fred does. Fred did not sit on the table, let alone Wes.	Wes sits on the table more than Fred does. Fred did not sit on the table, let alone Wes.	3.0411393642425537	2.968144178390503	N
5	Wes sits on the couch more than Fred does. Wes did not sit on the couch, let alone Fred.	Wes sits on the couch less than Fred does. Wes did not sit on the couch, let alone Fred.	2.933171033859253	2.9694020748138428	Y
6	Wes sits on the couch less than Fred does. Fred did not sit on the couch, let alone Wes.	Wes sits on the couch more than Fred does. Fred did not sit on the couch, let alone Wes.	3.0335516929626465	2.994630813598633	N
7	Wes sits on the floor more than Fred does. Wes did not sit on the floor, let alone Fred.	Wes sits on the floor less than Fred does. Wes did not sit on the floor, let alone Fred.	2.910195827484131	2.9685893058776855	Y
8	Wes sits on the floor less than Fred does. Fred did not sit on the floor, let alone Wes.	Wes sits on the floor more than Fred does. Fred did not sit on the floor, let alone Wes.	3.0448930263519287	2.9758663177490234	N
9	Wes sits on the carpet more than Fred does. Wes did not sit on the carpet, let alone Fred.	Wes sits on the carpet less than Fred does. Wes did not sit on the carpet, let alone Fred.	2.956974983215332	2.9793667793273926	Y
10	Wes sits on the carpet less than Fred does. Fred did not sit on the carpet, let alone Wes.	Wes sits on the carpet more than Fred does. Fred did not sit on the carpet, let alone Wes.	2.989915370941162	2.9703471660614014	N
11	Wes sits on the bench more than Fred does. Wes did not sit on the bench, let alone Fred.	Wes sits on the bench less than Fred does. Wes did not sit on the bench, let alone Fred.	2.8393993377685547	2.896329402923584	Y
12	Wes sits on the bench less than Fred does. Fred did not sit on the bench, let alone Wes.	Wes sits on the bench more than Fred does. Fred did not sit on the bench, let alone Wes.	2.951174736022949	2.861572027206421	N
13	Wes sits on the seat more than Fred does. Wes did not sit on the seat, let alone Fred.	Wes sits on the seat less than Fred does. Wes did not sit on the seat, let alone Fred.	2.957735061645508	3.0414836406707764	Y
14	Wes sits on the seat less than Fred does. Fred did not sit on the seat, let alone Wes.	Wes sits on the seat more than Fred does. Fred did not sit on the seat, let alone Wes.	3.141782283782959	3.0467841625213623	N
15	Wes catches the baseball more than Fred does. Wes did not catch the baseball, let alone Fred.	Wes catches the baseball less than Fred does. Wes did not catch the baseball, let alone Fred.	3.2091145515441895	3.229024887084961	Y
16	Wes catches the baseball less than Fred does. Fred did not catch the baseball, let alone Wes.	Wes catches the baseball more than Fred does. Fred did not catch the baseball, let alone Wes.	3.2359917163848877	3.241914987564087	Y
17	Wes catches the dog more than Fred does. Wes did not catch the dog, let alone Fred.	Wes catches the dog less than Fred does. Wes did not catch the dog, let alone Fred.	3.142580270767212	3.1232495307922363	N
18	Wes catches the dog less than Fred does. Fred did not catch the dog, let alone Wes.	Wes catches the dog more than Fred does. Fred did not catch the dog, let alone Wes.	3.1693501472473145	3.1957855224609375	Y
19	Wes catches the ball more than Fred does. Wes did not catch the ball, let alone Fred.	Wes catches the ball less than Fred does. Wes did not catch the ball, let alone Fred.	2.99629282951355	3.0694034099578857	Y
20	Wes catches the ball less than Fred does. Fred did not catch the ball, let alone Wes.	Wes catches the ball more than Fred does. Fred did not catch the ball, let alone Wes.	3.0448696613311768	2.995673418045044	N
21	Wes catches the football more than Fred does. Wes did not catch the football, let alone Fred.	Wes catches the football less than Fred does. Wes did not catch the football, let alone Fred.	3.042360544204712	3.0452680587768555	Y
22	Wes catches the football less than Fred does. Fred did not catch the football, let alone Wes.	Wes catches the football more than Fred does. Fred did not catch the football, let alone Wes.	3.0818686485290527	3.0948829650878906	Y
23	Wes catches the leaves more than Fred does. Wes did not catch the leaves, let alone Fred.	Wes catches the leaves less than Fred does. Wes did not catch the leaves, let alone Fred.	3.0416393280029297	3.1138951778411865	Y
24	Wes catches the leaves less than Fred does. Fred did not catch the leaves, let alone Wes.	Wes catches the leaves more than Fred does. Fred did not catch the leaves, let alone Wes.	3.1878461837768555	3.138941764831543	N
25	Wes throws the ball more than Fred does. Wes did not throw the ball, let alone Fred.	Wes throws the ball less than Fred does. Wes did not throw the ball, let alone Fred.	2.9933431148529053	3.081549882888794	Y
26	Wes throws the ball less than Fred does. Fred did not throw the ball, let alone Wes.	Wes throws the ball more than Fred does. Fred did not throw the ball, let alone Wes.	2.996816635131836	2.9288806915283203	N
27	Wes throws the paper airplane more than Fred does. Wes did not throw the paper airplane, let alone Fred.	Wes throws the paper airplane less than Fred does. Wes did not throw the paper airplane, let alone Fred.	2.8408660888671875	2.866328716278076	Y
28	Wes throws the paper airplane less than Fred does. Fred did not throw the paper airplane, let alone Wes.	Wes throws the paper airplane more than Fred does. Fred did not throw the paper airplane, let alone Wes.	2.829129934310913	2.876542568206787	Y
29	Wes throws the paper more than Fred does. Wes did not throw the paper, let alone Fred.	Wes throws the paper less than Fred does. Wes did not throw the paper, let alone Fred.	2.9615368843078613	2.968472719192505	Y
30	Wes throws the paper less than Fred does. Fred did not throw the paper, let alone Wes.	Wes throws the paper more than Fred does. Fred did not throw the paper, let alone Wes.	2.9689629077911377	3.021547317504883	Y
31	Wes throws the baseball more than Fred does. Wes did not throw the baseball, let alone Fred.	Wes throws the baseball less than Fred does. Wes did not throw the baseball, let alone Fred.	3.0496954917907715	3.1015472412109375	Y
32	Wes throws the baseball less than Fred does. Fred did not throw the baseball, let alone Wes.	Wes throws the baseball more than Fred does. Fred did not throw the baseball, let alone Wes.	3.120939254760742	3.101025342941284	N
33	Wes throws the football more than Fred does. Wes did not throw the football, let alone Fred.	Wes throws the football less than Fred does. Wes did not throw the football, let alone Fred.	2.856435775756836	2.8668925762176514	Y
34	Wes throws the football less than Fred does. Fred did not throw the football, let alone Wes.	Wes throws the football more than Fred does. Fred did not throw the football, let alone Wes.	2.940861463546753	2.936307907104492	N
35	Wes throws the dart more than Fred does. Wes did not throw the dart, let alone Fred.	Wes throws the dart less than Fred does. Wes did not throw the dart, let alone Fred.	3.020023822784424	3.0286214351654053	Y
36	Wes throws the dart less than Fred does. Fred did not throw the dart, let alone Wes.	Wes throws the dart more than Fred does. Fred did not throw the dart, let alone Wes.	2.9817256927490234	3.009091854095459	Y
37	Wes throws the cup more than Fred does. Wes did not throw the cup, let alone Fred.	Wes throws the cup less than Fred does. Wes did not throw the cup, let alone Fred.	2.9437148571014404	2.9857070446014404	Y
38	Wes throws the cup less than Fred does. Fred did not throw the cup, let alone Wes.	Wes throws the cup more than Fred does. Fred did not throw the cup, let alone Wes.	3.0420477390289307	3.036879301071167	N
39	Wes throws the pencil more than Fred does. Wes did not throw the pencil, let alone Fred.	Wes throws the pencil less than Fred does. Wes did not throw the pencil, let alone Fred.	3.0913009643554688	3.1244075298309326	Y
40	Wes throws the pencil less than Fred does. Fred did not throw the pencil, let alone Wes.	Wes throws the pencil more than Fred does. Fred did not throw the pencil, let alone Wes.	3.110410213470459	3.131617307662964	Y
41	Wes kicks the ball more than Fred does. Wes did not kick the ball, let alone Fred.	Wes kicks the ball less than Fred does. Wes did not kick the ball, let alone Fred.	3.129530191421509	3.1944949626922607	Y
42	Wes kicks the ball less than Fred does. Fred did not kick the ball, let alone Wes.	Wes kicks the ball more than Fred does. Fred did not kick the ball, let alone Wes.	3.173487901687622	3.1322691440582275	N
43	Wes kicks the wall more than Fred does. Wes did not kick the wall, let alone Fred.	Wes kicks the wall less than Fred does. Wes did not kick the wall, let alone Fred.	3.1514499187469482	3.2030837535858154	Y
44	Wes kicks the wall less than Fred does. Fred did not kick the wall, let alone Wes.	Wes kicks the wall more than Fred does. Fred did not kick the wall, let alone Wes.	3.1399953365325928	3.123988151550293	N
45	Wes kicks the table more than Fred does. Wes did not kick the table, let alone Fred.	Wes kicks the table less than Fred does. Wes did not kick the table, let alone Fred.	3.1328060626983643	3.1898818016052246	Y
46	Wes kicks the table less than Fred does. Fred did not kick the table, let alone Wes.	Wes kicks the table more than Fred does. Fred did not kick the table, let alone Wes.	3.18105149269104	3.156932830810547	N
47	Wes kicks the football more than Fred does. Wes did not kick the football, let alone Fred.	Wes kicks the football less than Fred does. Wes did not kick the football, let alone Fred.	2.97804856300354	2.974066972732544	N
48	Wes kicks the football less than Fred does. Fred did not kick the football, let alone Wes.	Wes kicks the football more than Fred does. Fred did not kick the football, let alone Wes.	3.041304588317871	3.0564229488372803	Y
49	Wes pushes the cart more than Fred does. Wes did not push the cart, let alone Fred.	Wes pushes the cart less than Fred does. Wes did not push the cart, let alone Fred.	3.374776840209961	3.4150173664093018	Y
50	Wes pushes the cart less than Fred does. Fred did not push the cart, let alone Wes.	Wes pushes the cart more than Fred does. Fred did not push the cart, let alone Wes.	3.5072286128997803	3.487435817718506	N
51	Wes pushes the couch more than Fred does. Wes did not push the couch, let alone Fred.	Wes pushes the couch less than Fred does. Wes did not push the couch, let alone Fred.	3.2581915855407715	3.310408592224121	Y
52	Wes pushes the couch less than Fred does. Fred did not push the couch, let alone Wes.	Wes pushes the couch more than Fred does. Fred did not push the couch, let alone Wes.	3.3629491329193115	3.366281747817993	Y
53	Wes pushes the table more than Fred does. Wes did not push the table, let alone Fred.	Wes pushes the table less than Fred does. Wes did not push the table, let alone Fred.	3.22957444190979	3.3356053829193115	Y
54	Wes pushes the table less than Fred does. Fred did not push the table, let alone Wes.	Wes pushes the table more than Fred does. Fred did not push the table, let alone Wes.	3.3903677463531494	3.3272664546966553	N
55	Wes pushes the chair more than Fred does. Wes did not push the chair, let alone Fred.	Wes pushes the chair less than Fred does. Wes did not push the chair, let alone Fred.	3.2483906745910645	3.302151918411255	Y
56	Wes pushes the chair less than Fred does. Fred did not push the chair, let alone Wes.	Wes pushes the chair more than Fred does. Fred did not push the chair, let alone Wes.	3.400686264038086	3.3811168670654297	N
57	Wes pushes the furniture more than Fred does. Wes did not push the furniture, let alone Fred.	Wes pushes the furniture less than Fred does. Wes did not push the furniture, let alone Fred.	3.2857837677001953	3.379476547241211	Y
58	Wes pushes the furniture less than Fred does. Fred did not push the furniture, let alone Wes.	Wes pushes the furniture more than Fred does. Fred did not push the furniture, let alone Wes.	3.4485418796539307	3.4366393089294434	N
59	Wes pushes the car more than Fred does. Wes did not push the car, let alone Fred.	Wes pushes the car less than Fred does. Wes did not push the car, let alone Fred.	3.419933795928955	3.4971044063568115	Y
60	Wes pushes the car less than Fred does. Fred did not push the car, let alone Wes.	Wes pushes the car more than Fred does. Fred did not push the car, let alone Wes.	3.5277981758117676	3.4879913330078125	N
61	Wes drops the plate more than Fred does. Wes did not drop the plate, let alone Fred.	Wes drops the plate less than Fred does. Wes did not drop the plate, let alone Fred.	3.330061674118042	3.376612424850464	Y
62	Wes drops the plate less than Fred does. Fred did not drop the plate, let alone Wes.	Wes drops the plate more than Fred does. Fred did not drop the plate, let alone Wes.	3.4277255535125732	3.4010207653045654	N
63	Wes drops the ball more than Fred does. Wes did not drop the ball, let alone Fred.	Wes drops the ball less than Fred does. Wes did not drop the ball, let alone Fred.	3.2741305828094482	3.291900396347046	Y
64	Wes drops the ball less than Fred does. Fred did not drop the ball, let alone Wes.	Wes drops the ball more than Fred does. Fred did not drop the ball, let alone Wes.	3.2998898029327393	3.2796359062194824	N
65	Wes drops the toy more than Fred does. Wes did not drop the toy, let alone Fred.	Wes drops the toy less than Fred does. Wes did not drop the toy, let alone Fred.	3.2983100414276123	3.3384017944335938	Y
66	Wes drops the toy less than Fred does. Fred did not drop the toy, let alone Wes.	Wes drops the toy more than Fred does. Fred did not drop the toy, let alone Wes.	3.3898916244506836	3.396697998046875	Y
67	Wes drops the picture more than Fred does. Wes did not drop the picture, let alone Fred.	Wes drops the picture less than Fred does. Wes did not drop the picture, let alone Fred.	3.160787582397461	3.2308690547943115	Y
68	Wes drops the picture less than Fred does. Fred did not drop the picture, let alone Wes.	Wes drops the picture more than Fred does. Fred did not drop the picture, let alone Wes.	3.226121187210083	3.23142147064209	Y
69	Wes drops the paper more than Fred does. Wes did not drop the paper, let alone Fred.	Wes drops the paper less than Fred does. Wes did not drop the paper, let alone Fred.	3.1611242294311523	3.1659908294677734	Y
70	Wes drops the paper less than Fred does. Fred did not drop the paper, let alone Wes.	Wes drops the paper more than Fred does. Fred did not drop the paper, let alone Wes.	3.1988067626953125	3.246506452560425	Y
71	Wes drops the shirt more than Fred does. Wes did not drop the shirt, let alone Fred.	Wes drops the shirt less than Fred does. Wes did not drop the shirt, let alone Fred.	3.1009254455566406	3.14018177986145	Y
72	Wes drops the shirt less than Fred does. Fred did not drop the shirt, let alone Wes.	Wes drops the shirt more than Fred does. Fred did not drop the shirt, let alone Wes.	3.2549595832824707	3.251344919204712	N
73	Wes drops the napkin more than Fred does. Wes did not drop the napkin, let alone Fred.	Wes drops the napkin less than Fred does. Wes did not drop the napkin, let alone Fred.	2.9622609615325928	2.9992990493774414	Y
74	Wes drops the napkin less than Fred does. Fred did not drop the napkin, let alone Wes.	Wes drops the napkin more than Fred does. Fred did not drop the napkin, let alone Wes.	3.032182216644287	3.0355472564697266	Y
75	Wes drops the fork more than Fred does. Wes did not drop the fork, let alone Fred.	Wes drops the fork less than Fred does. Wes did not drop the fork, let alone Fred.	3.2394649982452393	3.301985740661621	Y
76	Wes drops the fork less than Fred does. Fred did not drop the fork, let alone Wes.	Wes drops the fork more than Fred does. Fred did not drop the fork, let alone Wes.	3.3088362216949463	3.3014326095581055	N
77	Wes heat the water more than Fred does. Wes did not heat the water, let alone Fred.	Wes heat the water less than Fred does. Wes did not heat the water, let alone Fred.	3.4224307537078857	3.4446301460266113	Y
78	Wes heat the water less than Fred does. Fred did not heat the water, let alone Wes.	Wes heat the water more than Fred does. Fred did not heat the water, let alone Wes.	3.403832197189331	3.417142152786255	Y
79	Wes heats the soup more than Fred does. Wes did not heat the soup, let alone Fred.	Wes heats the soup less than Fred does. Wes did not heat the soup, let alone Fred.	3.5922582149505615	3.6461410522460938	Y
80	Wes heats the soup less than Fred does. Fred did not heat the soup, let alone Wes.	Wes heats the soup more than Fred does. Fred did not heat the soup, let alone Wes.	3.658391237258911	3.6503560543060303	N
81	Wes heats the tea more than Fred does. Wes did not heat the tea, let alone Fred.	Wes heats the tea less than Fred does. Wes did not heat the tea, let alone Fred.	3.6203274726867676	3.666229248046875	Y
82	Wes heats the tea less than Fred does. Fred did not heat the tea, let alone Wes.	Wes heats the tea more than Fred does. Fred did not heat the tea, let alone Wes.	3.5630834102630615	3.5928518772125244	Y
83	Wes heats the car more than Fred does. Wes did not heat the car, let alone Fred.	Wes heats the car less than Fred does. Wes did not heat the car, let alone Fred.	3.622058391571045	3.706602096557617	Y
84	Wes heats the car less than Fred does. Fred did not heat the car, let alone Wes.	Wes heats the car more than Fred does. Fred did not heat the car, let alone Wes.	3.6070480346679688	3.6016311645507812	N
85	Wes sits on the chair more than Lucille does. Wes did not sit on the chair, let alone Lucille.	Wes sits on the chair less than Lucille does. Wes did not sit on the chair, let alone Lucille.	2.6515896320343018	2.6908881664276123	Y
86	Wes sits on the chair less than Lucille does. Lucille did not sit on the chair, let alone Wes.	Wes sits on the chair more than Lucille does. Lucille did not sit on the chair, let alone Wes.	2.7730023860931396	2.730592966079712	N
87	Wes sits on the table more than Lucille does. Wes did not sit on the table, let alone Lucille.	Wes sits on the table less than Lucille does. Wes did not sit on the table, let alone Lucille.	2.6808788776397705	2.712360382080078	Y
88	Wes sits on the table less than Lucille does. Lucille did not sit on the table, let alone Wes.	Wes sits on the table more than Lucille does. Lucille did not sit on the table, let alone Wes.	2.7504968643188477	2.7166714668273926	N
89	Wes sits on the couch more than Lucille does. Wes did not sit on the couch, let alone Lucille.	Wes sits on the couch less than Lucille does. Wes did not sit on the couch, let alone Lucille.	2.6977689266204834	2.6970486640930176	N
90	Wes sits on the couch less than Lucille does. Lucille did not sit on the couch, let alone Wes.	Wes sits on the couch more than Lucille does. Lucille did not sit on the couch, let alone Wes.	2.79567813873291	2.792296886444092	N
91	Wes sits on the floor more than Lucille does. Wes did not sit on the floor, let alone Lucille.	Wes sits on the floor less than Lucille does. Wes did not sit on the floor, let alone Lucille.	2.6772027015686035	2.716648817062378	Y
92	Wes sits on the floor less than Lucille does. Lucille did not sit on the floor, let alone Wes.	Wes sits on the floor more than Lucille does. Lucille did not sit on the floor, let alone Wes.	2.805339813232422	2.757434129714966	N
93	Wes sits on the carpet more than Lucille does. Wes did not sit on the carpet, let alone Lucille.	Wes sits on the carpet less than Lucille does. Wes did not sit on the carpet, let alone Lucille.	2.7323577404022217	2.7252378463745117	N
94	Wes sits on the carpet less than Lucille does. Lucille did not sit on the carpet, let alone Wes.	Wes sits on the carpet more than Lucille does. Lucille did not sit on the carpet, let alone Wes.	2.7814393043518066	2.7823235988616943	Y
95	Wes sits on the bench more than Lucille does. Wes did not sit on the bench, let alone Lucille.	Wes sits on the bench less than Lucille does. Wes did not sit on the bench, let alone Lucille.	2.6836354732513428	2.718414068222046	Y
96	Wes sits on the bench less than Lucille does. Lucille did not sit on the bench, let alone Wes.	Wes sits on the bench more than Lucille does. Lucille did not sit on the bench, let alone Wes.	2.772495985031128	2.7163145542144775	N
97	Wes sits on the seat more than Lucille does. Wes did not sit on the seat, let alone Lucille.	Wes sits on the seat less than Lucille does. Wes did not sit on the seat, let alone Lucille.	2.7460832595825195	2.7969467639923096	Y
98	Wes sits on the seat less than Lucille does. Lucille did not sit on the seat, let alone Wes.	Wes sits on the seat more than Lucille does. Lucille did not sit on the seat, let alone Wes.	2.92195200920105	2.8605518341064453	N
99	Wes catches the baseball more than Lucille does. Wes did not catch the baseball, let alone Lucille.	Wes catches the baseball less than Lucille does. Wes did not catch the baseball, let alone Lucille.	2.8302760124206543	2.839322090148926	Y
100	Wes catches the baseball less than Lucille does. Lucille did not catch the baseball, let alone Wes.	Wes catches the baseball more than Lucille does. Lucille did not catch the baseball, let alone Wes.	2.8904988765716553	2.929683208465576	Y
101	Wes catches the dog more than Lucille does. Wes did not catch the dog, let alone Lucille.	Wes catches the dog less than Lucille does. Wes did not catch the dog, let alone Lucille.	2.715824604034424	2.679839611053467	N
102	Wes catches the dog less than Lucille does. Lucille did not catch the dog, let alone Wes.	Wes catches the dog more than Lucille does. Lucille did not catch the dog, let alone Wes.	2.8703246116638184	2.926741600036621	Y
103	Wes catches the ball more than Lucille does. Wes did not catch the ball, let alone Lucille.	Wes catches the ball less than Lucille does. Wes did not catch the ball, let alone Lucille.	2.6726300716400146	2.75523042678833	Y
104	Wes catches the ball less than Lucille does. Lucille did not catch the ball, let alone Wes.	Wes catches the ball more than Lucille does. Lucille did not catch the ball, let alone Wes.	2.7752184867858887	2.7267913818359375	N
105	Wes catches the football more than Lucille does. Wes did not catch the football, let alone Lucille.	Wes catches the football less than Lucille does. Wes did not catch the football, let alone Lucille.	2.7049593925476074	2.7034718990325928	N
106	Wes catches the football less than Lucille does. Lucille did not catch the football, let alone Wes.	Wes catches the football more than Lucille does. Lucille did not catch the football, let alone Wes.	2.7557191848754883	2.7906062602996826	Y
107	Wes catches the leaves more than Lucille does. Wes did not catch the leaves, let alone Lucille.	Wes catches the leaves less than Lucille does. Wes did not catch the leaves, let alone Lucille.	2.632953643798828	2.6928224563598633	Y
108	Wes catches the leaves less than Lucille does. Lucille did not catch the leaves, let alone Wes.	Wes catches the leaves more than Lucille does. Lucille did not catch the leaves, let alone Wes.	2.863600492477417	2.817380905151367	N
109	Wes throws the ball more than Lucille does. Wes did not throw the ball, let alone Lucille.	Wes throws the ball less than Lucille does. Wes did not throw the ball, let alone Lucille.	2.6739139556884766	2.760906934738159	Y
110	Wes throws the ball less than Lucille does. Lucille did not throw the ball, let alone Wes.	Wes throws the ball more than Lucille does. Lucille did not throw the ball, let alone Wes.	2.7535712718963623	2.6885926723480225	N
111	Wes throws the paper airplane more than Lucille does. Wes did not throw the paper airplane, let alone Lucille.	Wes throws the paper airplane less than Lucille does. Wes did not throw the paper airplane, let alone Lucille.	2.5958359241485596	2.5864899158477783	N
112	Wes throws the paper airplane less than Lucille does. Lucille did not throw the paper airplane, let alone Wes.	Wes throws the paper airplane more than Lucille does. Lucille did not throw the paper airplane, let alone Wes.	2.6280388832092285	2.688633918762207	Y
113	Wes throws the paper more than Lucille does. Wes did not throw the paper, let alone Lucille.	Wes throws the paper less than Lucille does. Wes did not throw the paper, let alone Lucille.	2.7071502208709717	2.685427665710449	N
114	Wes throws the paper less than Lucille does. Lucille did not throw the paper, let alone Wes.	Wes throws the paper more than Lucille does. Lucille did not throw the paper, let alone Wes.	2.676312208175659	2.750000476837158	Y
115	Wes throws the baseball more than Lucille does. Wes did not throw the baseball, let alone Lucille.	Wes throws the baseball less than Lucille does. Wes did not throw the baseball, let alone Lucille.	2.7537953853607178	2.7934396266937256	Y
116	Wes throws the baseball less than Lucille does. Lucille did not throw the baseball, let alone Wes.	Wes throws the baseball more than Lucille does. Lucille did not throw the baseball, let alone Wes.	2.8237252235412598	2.847477674484253	Y
117	Wes throws the football more than Lucille does. Wes did not throw the football, let alone Lucille.	Wes throws the football less than Lucille does. Wes did not throw the football, let alone Lucille.	2.5789716243743896	2.5907962322235107	Y
118	Wes throws the football less than Lucille does. Lucille did not throw the football, let alone Wes.	Wes throws the football more than Lucille does. Lucille did not throw the football, let alone Wes.	2.6857783794403076	2.703681707382202	Y
119	Wes throws the dart more than Lucille does. Wes did not throw the dart, let alone Lucille.	Wes throws the dart less than Lucille does. Wes did not throw the dart, let alone Lucille.	2.6629648208618164	2.69389009475708	Y
120	Wes throws the dart less than Lucille does. Lucille did not throw the dart, let alone Wes.	Wes throws the dart more than Lucille does. Lucille did not throw the dart, let alone Wes.	2.6878180503845215	2.701941967010498	Y
