Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	Wes breaks the window more than Fred does. Wes did not break the window, let alone Fred.	Wes breaks the window less than Fred does. Wes did not break the window, let alone Fred.	3.052642822265625	3.0713858604431152	Y
2	Wes breaks the window less than Fred does. Fred did not break the window, let alone Wes.	Wes breaks the window more than Fred does. Fred did not break the window, let alone Wes.	3.0485708713531494	3.061594247817993	Y
3	Wes breaks the glass more than Fred does. Wes did not break the glass, let alone Fred.	Wes breaks the glass less than Fred does. Wes did not break the glass, let alone Fred.	3.048112154006958	3.0542149543762207	Y
4	Wes breaks the glass less than Fred does. Fred did not break the glass, let alone Wes.	Wes breaks the glass more than Fred does. Fred did not break the glass, let alone Wes.	3.0633292198181152	3.092280387878418	Y
5	Wes breaks the toy more than Fred does. Wes did not break the toy, let alone Fred.	Wes breaks the toy less than Fred does. Wes did not break the toy, let alone Fred.	3.169893980026245	3.1745669841766357	Y
6	Wes breaks the toy less than Fred does. Fred did not break the toy, let alone Wes.	Wes breaks the toy more than Fred does. Fred did not break the toy, let alone Wes.	3.236280679702759	3.271111011505127	Y
7	Wes rips the paper more than Fred does. Wes did not rip the paper, let alone Fred.	Wes rips the paper less than Fred does. Wes did not rip the paper, let alone Fred.	3.638399362564087	3.6428050994873047	Y
8	Wes rips the paper less than Fred does. Fred did not rip the paper, let alone Wes.	Wes rips the paper more than Fred does. Fred did not rip the paper, let alone Wes.	3.6678779125213623	3.698580741882324	Y
9	Wes rips the shirt more than Fred does. Wes did not rip the shirt, let alone Fred.	Wes rips the shirt less than Fred does. Wes did not rip the shirt, let alone Fred.	3.468324899673462	3.5050036907196045	Y
10	Wes rips the shirt less than Fred does. Fred did not rip the shirt, let alone Wes.	Wes rips the shirt more than Fred does. Fred did not rip the shirt, let alone Wes.	3.653623580932617	3.6359357833862305	N
11	Wes rips the napkin more than Fred does. Wes did not rip the napkin, let alone Fred.	Wes rips the napkin less than Fred does. Wes did not rip the napkin, let alone Fred.	3.3399932384490967	3.4191699028015137	Y
