Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	Wes sits on the chair more than Fred does. Wes did not sit on the chair, let alone Fred.	Wes sits on the chair more than Fred does. Wes did not sit on the chair , alone let Fred.	3.9463038444519043	5.957132339477539	Y
2	Wes sits on the chair less than Fred does. Fred did not sit on the chair, let alone Wes.	Wes sits on the chair less than Fred does. Fred did not sit on the chair , alone let Wes.	4.140342712402344	6.062478065490723	Y
3	Wes sits on the table more than Fred does. Wes did not sit on the table, let alone Fred.	Wes sits on the table more than Fred does. Wes did not sit on the table , alone let Fred.	3.987060070037842	6.065490245819092	Y
4	Wes sits on the table less than Fred does. Fred did not sit on the table, let alone Wes.	Wes sits on the table less than Fred does. Fred did not sit on the table , alone let Wes.	4.316593170166016	6.172927379608154	Y
5	Wes sits on the couch more than Fred does. Wes did not sit on the couch, let alone Fred.	Wes sits on the couch more than Fred does. Wes did not sit on the couch , alone let Fred.	3.7823486328125	5.955275535583496	Y
6	Wes sits on the couch less than Fred does. Fred did not sit on the couch, let alone Wes.	Wes sits on the couch less than Fred does. Fred did not sit on the couch , alone let Wes.	4.054634094238281	6.049964904785156	Y
7	Wes sits on the floor more than Fred does. Wes did not sit on the floor, let alone Fred.	Wes sits on the floor more than Fred does. Wes did not sit on the floor , alone let Fred.	3.9055519104003906	6.000895977020264	Y
8	Wes sits on the floor less than Fred does. Fred did not sit on the floor, let alone Wes.	Wes sits on the floor less than Fred does. Fred did not sit on the floor , alone let Wes.	4.061641693115234	6.075162887573242	Y
9	Wes sits on the carpet more than Fred does. Wes did not sit on the carpet, let alone Fred.	Wes sits on the carpet more than Fred does. Wes did not sit on the carpet , alone let Fred.	3.9099185466766357	6.015218734741211	Y
10	Wes sits on the carpet less than Fred does. Fred did not sit on the carpet, let alone Wes.	Wes sits on the carpet less than Fred does. Fred did not sit on the carpet , alone let Wes.	4.209436416625977	6.11041259765625	Y
11	Wes sits on the bench more than Fred does. Wes did not sit on the bench, let alone Fred.	Wes sits on the bench more than Fred does. Wes did not sit on the bench , alone let Fred.	3.988023281097412	6.034043788909912	Y
12	Wes sits on the bench less than Fred does. Fred did not sit on the bench, let alone Wes.	Wes sits on the bench less than Fred does. Fred did not sit on the bench , alone let Wes.	4.278050899505615	6.154069423675537	Y
13	Wes sits on the seat more than Fred does. Wes did not sit on the seat, let alone Fred.	Wes sits on the seat more than Fred does. Wes did not sit on the seat , alone let Fred.	3.8713603019714355	6.040069580078125	Y
14	Wes sits on the seat less than Fred does. Fred did not sit on the seat, let alone Wes.	Wes sits on the seat less than Fred does. Fred did not sit on the seat , alone let Wes.	4.021470069885254	6.036075592041016	Y
15	Wes catches the baseball more than Fred does. Wes did not catch the baseball, let alone Fred.	Wes catches the baseball more than Fred does. Wes did not catch the baseball , alone let Fred.	4.848735809326172	7.084592342376709	Y
16	Wes catches the baseball less than Fred does. Fred did not catch the baseball, let alone Wes.	Wes catches the baseball less than Fred does. Fred did not catch the baseball , alone let Wes.	5.400806427001953	7.198923587799072	Y
17	Wes catches the dog more than Fred does. Wes did not catch the dog, let alone Fred.	Wes catches the dog more than Fred does. Wes did not catch the dog , alone let Fred.	4.632418632507324	6.938867092132568	Y
18	Wes catches the dog less than Fred does. Fred did not catch the dog, let alone Wes.	Wes catches the dog less than Fred does. Fred did not catch the dog , alone let Wes.	5.149107456207275	7.211137294769287	Y
19	Wes catches the ball more than Fred does. Wes did not catch the ball, let alone Fred.	Wes catches the ball more than Fred does. Wes did not catch the ball , alone let Fred.	4.684944152832031	6.806398868560791	Y
20	Wes catches the ball less than Fred does. Fred did not catch the ball, let alone Wes.	Wes catches the ball less than Fred does. Fred did not catch the ball , alone let Wes.	5.052115440368652	7.014466285705566	Y
21	Wes catches the football more than Fred does. Wes did not catch the football, let alone Fred.	Wes catches the football more than Fred does. Wes did not catch the football , alone let Fred.	4.737989902496338	7.0951972007751465	Y
22	Wes catches the football less than Fred does. Fred did not catch the football, let alone Wes.	Wes catches the football less than Fred does. Fred did not catch the football , alone let Wes.	5.123716354370117	7.024966239929199	Y
23	Wes catches the leaves more than Fred does. Wes did not catch the leaves, let alone Fred.	Wes catches the leaves more than Fred does. Wes did not catch the leaves , alone let Fred.	4.539028167724609	6.790003299713135	Y
24	Wes catches the leaves less than Fred does. Fred did not catch the leaves, let alone Wes.	Wes catches the leaves less than Fred does. Fred did not catch the leaves , alone let Wes.	5.0666399002075195	7.0731329917907715	Y
25	Wes throws the ball more than Fred does. Wes did not throw the ball, let alone Fred.	Wes throws the ball more than Fred does. Wes did not throw the ball , alone let Fred.	4.4092302322387695	6.462116718292236	Y
26	Wes throws the ball less than Fred does. Fred did not throw the ball, let alone Wes.	Wes throws the ball less than Fred does. Fred did not throw the ball , alone let Wes.	4.741785049438477	6.7756195068359375	Y
