Num	Good Pair	Bad Pair	Good_Surp	Bad_Surp	Correct
1	I would have needed to get up earlier in order to cook breakfast than to eat lunch. I barely got up in time to eat lunch, let alone cook breakfast.	I would have needed to get up earlier in order to cook breakfast than to eat lunch. I barely got up in time to eat lunch, alone let cook breakfast.	tensor(118.8843)	tensor(134.9356)	Y
2	It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid. I doubt you could get Fred to eat shrimp, let alone Louise squid.	It would probably be more challenging to get Fred to eat shrimp than to get Louise to eat squid. I doubt you could get Fred to eat shrimp, alone let Louise squid.	tensor(152.5631)	tensor(163.4216)	Y
3	I would've needed to be even older to have served in World War One than to have served in World War Two. I was too young to serve in World War Two, let alone World War One.	I would've needed to be even older to have served in World War One than to have served in World War Two. I was too young to serve in World War Two, alone let World War One.	tensor(135.9094)	tensor(153.6929)	Y
4	Going barefoot is generally less likely to be a crime than walking around naked. Look, around here you can get arrested for going barefoot, let alone for walking around naked.	Going barefoot is generally less likely to be a crime than walking around naked. Look, around here you can get arrested for going barefoot, alone let for walking around naked.	tensor(147.3910)	tensor(164.0003)	Y
5	Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke. Don't worry. Little Seymour's parents let him drink whiskey, let alone coke.	Allowing a child to drink whiskey is more lenient than allowing a child to drink Coke. Don't worry. Little Seymour's parents let him drink whiskey, alone let coke.	tensor(173.7925)	tensor(185.2016)	Y
6	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred to eat squid, let alone Louise.	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred to eat squid, alone let Louise.	tensor(123.5485)	tensor(138.3865)	Y
7	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred, let alone Louise, to eat squid.	Louise is even less likely to eat squid than Fred is. I doubt you could get Fred, alone let Louise, to eat squid.	tensor(131.6217)	tensor(143.2050)	Y
8	Fred is even less likely to eat squid than he is to eat shrimp. My observations warrant the inference that Fred will not eat shrimp, let alone squid.	Fred is even less likely to eat squid than he is to eat shrimp. My observations warrant the inference that Fred will not eat shrimp, alone let squid.	tensor(159.0017)	tensor(176.1159)	Y
9	It is even less likely that he made General in World War Two than he made Colonel. I doubt he made Colonel in World War II, let alone General.	It is even less likely that he made General in World War Two than he made Colonel. I doubt he made Colonel in World War II, alone let General.	tensor(133.2568)	tensor(143.5697)	Y
10	Liking shrimp is more common than liking squid. He doesn't like shrimp, let alone squid.	Liking shrimp is more common than liking squid. He doesn't like shrimp, alone let squid.	tensor(104.3653)	tensor(122.9515)	Y
11	Doing such a thing would be even more unbelievable than imagining it. Who could imagine such a thing, let alone do it?	Doing such a thing would be even more unbelievable than imagining it. Who could imagine such a thing, alone let do it?	tensor(99.0327)	tensor(113.7423)	Y
12	I would want to read a book written by that swine even less than I would want to read an article about them. I don't even want to read an article about, let alone a book written by, that swine.	I would want to read a book written by that swine even less than I would want to read an article about them. I don't even want to read an article about, alone let a book written by, that swine.	tensor(146.4059)	tensor(167.5049)	Y
13	Getting Lucille to eat it would be even more challenging than getting John to touch it. You couldn't get John to touch it, let alone Lucille to eat it.	Getting Lucille to eat it would be even more challenging than getting John to touch it. You couldn't get John to touch it, alone let Lucille to eat it.	tensor(117.2270)	tensor(129.7467)	Y
14	Max is even less likely to eat squid than he is to eat shrimp. Max won't eat shrimp, let alone squid.	Max is even less likely to eat squid than he is to eat shrimp. Max won't eat shrimp, alone let squid.	tensor(112.9647)	tensor(132.6929)	Y
15	Max is even less willing to clean the squid than he is to touch the shrimp. Max won't touch the shrimp, let alone clean the squid.	Max is even less willing to clean the squid than he is to touch the shrimp. Max won't touch the shrimp, alone let clean the squid.	tensor(134.0543)	tensor(147.4502)	Y
16	Getting John to eat the shrimp would be easier than getting Lucille to eat the squid. They couldn't make John eat the shrimp, let alone Lucille the squid.	Getting John to eat the shrimp would be easier than getting Lucille to eat the squid. They couldn't make John eat the shrimp, alone let Lucille the squid.	tensor(145.2462)	tensor(158.0512)	Y
17	He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother. He wouldn't give a nickel to his mother, let alone ten dollars to a complete stranger.	He is less likely to give ten dollars to a complete stranger than he is to give a nickel to his mother. He wouldn't give a nickel to his mother, alone let ten dollars to a complete stranger.	tensor(134.7043)	tensor(150.5401)	Y
18	Moishe is less likely to eat squid than shrimp. Shrimp Moishe won't eat, let alone squid.	Moishe is less likely to eat squid than shrimp. Shrimp Moishe won't eat, alone let squid.	tensor(122.8467)	tensor(141.1509)	Y
19	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. They've broken up Penutian, let alone Macro-Penutian. 	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. They've broken up Penutian, alone let Macro-Penutian. 	tensor(163.1875)	tensor(178.6388)	Y
20	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. Penutian they've broken up, let alone Macro-Penutian. 	Breaking up Penutian is more fine-grained than breaking up Macro-Penutian. Penutian they've broken up, alone let Macro-Penutian. 	tensor(171.6364)	tensor(186.8644)	Y
21	Rabbi Feldstein is even less likely to eat shrimp than Max is. Max won't eat shrimp, let alone Rabbi Feldstein. 	Rabbi Feldstein is even less likely to eat shrimp than Max is. Max won't eat shrimp, alone let Rabbi Feldstein. 	tensor(138.7409)	tensor(153.6821)	Y
22	Minnie is older than Meg. Minnie wasn't born by 1941, let alone Meg. 	Minnie is older than Meg. Minnie wasn't born by 1941, alone let Meg. 	tensor(84.4263)	tensor(100.6780)	Y
23	Bill is even less likely to do it for you than John is. John won't do it for you, let alone Bill. 	Bill is even less likely to do it for you than John is. John won't do it for you, alone let Bill. 	tensor(98.9509)	tensor(114.6018)	Y
24	It was more likely that John would be there than Louise. John wasn't there, let alone Louise.	It was more likely that John would be there than Louise. John wasn't there, alone let Louise.	tensor(84.3769)	tensor(101.8213)	Y
25	It would be even less preferable for Sue to do it than Fred. I didn't want Fred to do it, let alone Sue. 	It would be even less preferable for Sue to do it than Fred. I didn't want Fred to do it, alone let Sue. 	tensor(113.4744)	tensor(133.9565)	Y
26	Louise was more likely to understand it than Susan. Louise surely didn't understand it, let alone Susan. 	Louise was more likely to understand it than Susan. Louise surely didn't understand it, alone let Susan. 	tensor(101.6973)	tensor(120.6936)	Y
27	Louise is more likely to past that test than Susan is. I bet Louise, let alone Susan, couldn't pass that test. 	Louise is more likely to past that test than Susan is. I bet Louise, alone let Susan, couldn't pass that test. 	tensor(128.5665)	tensor(141.0549)	Y
28	He would need to get up even earlier for breakfast than for lunch. He doesn't get up for lunch, let alone breakfast.	He would need to get up even earlier for breakfast than for lunch. He doesn't get up for lunch, alone let breakfast.	tensor(101.1841)	tensor(122.6255)	Y
29	It would be less likely that John speaks Bulgarian than that John speaks Russian. John hardly speaks Russian let alone Bulgarian. 	It would be less likely that John speaks Bulgarian than that John speaks Russian. John hardly speaks Russian alone let Bulgarian. 	tensor(139.0050)	tensor(151.4971)	Y
30	The existence of Macro-Penutian is more contested than the existence of Penutian. The latest results dissolved Penutian let alone didn't support Macro-Penutian.	The existence of Macro-Penutian is more contested than the existence of Penutian. The latest results dissolved Penutian alone let didn't support Macro-Penutian.	tensor(193.2533)	tensor(200.2047)	Y
31	He was further away from Chicago than Denver. He didn't reach Denver, let alone Chicago. 	He was further away from Chicago than Denver. He didn't reach Denver, alone let Chicago. 	tensor(101.7879)	tensor(116.9048)	Y
32	Going running would require more energy than getting up. I'm too tired to get up, let alone go running with you. 	Going running would require more energy than getting up. I'm too tired to get up, alone let go running with you. 	tensor(111.7937)	tensor(119.7469)	Y
33	I could carry more candy than I could eat. She gave me more candy than I could carry, let alone eat.	I could carry more candy than I could eat. She gave me more candy than I could carry, alone let eat.	tensor(85.4610)	tensor(98.1393)	Y
34	Reading that book is less likely than buying it. Only a linguist would buy that book, let alone read it. 	Reading that book is less likely than buying it. Only a linguist would buy that book, alone let read it. 	tensor(108.5520)	tensor(119.1913)	Y
35	I needed to get up earlier for breakfast than for lunch. I barely got up in time for lunch, let alone breakfast. 	I needed to get up earlier for breakfast than for lunch. I barely got up in time for lunch, alone let breakfast. 	tensor(92.1414)	tensor(114.3867)	Y
36	Doing my morning calisthenics requires more energy than getting out of bed. I had all I could do to get out of bed, let alone do my morning calisthenics.	Doing my morning calisthenics requires more energy than getting out of bed. I had all I could do to get out of bed, alone let do my morning calisthenics.	tensor(125.4109)	tensor(139.6996)	Y
37	John would be more likely to pass the test than Bill.  It would surprise me if John could pass the test, let alone Bill. 	John would be more likely to pass the test than Bill.  It would surprise me if John could pass the test, alone let Bill. 	tensor(113.5395)	tensor(129.0985)	Y
38	Getting a B.A. requires more schooling than reaching sixth grade. He failed to reach the sixth grade, let alone get a B.A. 	Getting a B.A. requires more schooling than reaching sixth grade. He failed to reach the sixth grade, alone let get a B.A. 	tensor(124.5508)	tensor(136.2701)	Y
39	Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school. Anyone who'd been to high school, let alone graduate students in math, should be able to solve that problem.	Graduate students in math should have a greater ability to solve that poroblem than anyone who'd been to high school. Anyone who'd been to high school, alone let graduate students in math, should be able to solve that problem.	tensor(195.7189)	tensor(205.3175)	Y
40	You need more material for a semester than a week. You've got enough material there for a whole semester, let alone a week.	You need more material for a semester than a week. You've got enough material there for a whole semester, alone let a week.	tensor(106.8952)	tensor(128.4964)	Y
41	Breaking up Penutian requires breaking up Macro-Penutian Penutian has been broken up, let alone Macro-Penutian.	Breaking up Penutian requires breaking up Macro-Penutian Penutian has been broken up, alone let Macro-Penutian.	tensor(134.2814)	tensor(150.3164)	Y
42	It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times. You'd never get a poor man to wash a car for $2 in bad times, let alone a rich man to wax a truck for $1 in prosperous times.	It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times. You'd never get a poor man to wash a car for $2 in bad times, alone let a rich man to wax a truck for $1 in prosperous times.	tensor(226.1033)	tensor(244.5551)	Y
43	It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times. You'd never get a poor man, let alone a rich man, to wash, let alone wax, a car, let alone a truck, for $2, let alone $1, in bad times, let alone in prosperous times.	It's more likely you could get a poor man to wash a car for $2 in prosperous times than you could get a rich man to wax a truck for $1 in prosperous times. You'd never get a poor man, alone let a rich man, to wash, alone let wax, a car, alone let a truck, for $2, alone let $1, in bad times, alone let in prosperous times.	tensor(300.8994)	tensor(331.5292)	Y
44	It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars. You couldn't get a poor man to wash your car for two dollars, let alone a rich man to wax your truck for one dollar.	It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars. You couldn't get a poor man to wash your car for two dollars, alone let a rich man to wax your truck for one dollar.	tensor(190.3990)	tensor(206.7389)	Y
45	It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars. You couldn't get a poor man, let alone a rich man, to wash, let alone wax, your car, let alone your truck, for two dollars, let alone for one dollar.	It's even less likely that you could get a rich man to wax your truck for one dollar than that you could get a poor man to wash your car for two dollars. You couldn't get a poor man, alone let a rich man, to wash, alone let wax, your car, alone let your truck, for two dollars, alone let for one dollar.	tensor(243.8786)	tensor(270.6417)	Y
46	Getting Reagan to denounce capitalism would be even more difficult than getting Gorbachev to denounce communism. You'll never get Gorbachev to denounce communism, let alone Reagan to denounce capitalism.	Getting Reagan to denounce capitalism would be even more difficult than getting Gorbachev to denounce communism. You'll never get Gorbachev to denounce communism, alone let Reagan to denounce capitalism.	tensor(149.9793)	tensor(159.5387)	Y
47	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man, let alone a rich man, wouldn't wash your car for $2, let alone wax your truck for $1.	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man, alone let a rich man, wouldn't wash your car for $2, alone let wax your truck for $1.	tensor(229.8024)	tensor(249.7681)	Y
48	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man wouldn't wash your car, let alone a rich man wax your truck, for $2, let alone for $1.	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man wouldn't wash your car, alone let a rich man wax your truck, for $2, alone let for $1.	tensor(229.5296)	tensor(247.8701)	Y
49	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man wouldn't wash, let alone a rich man wax, your car for $2, let alone your truck for $1.	It's even less likely that you could get a rich man to wax your truck for $1 than that you could get a poor man to wash your car for $2. A poor man wouldn't wash, alone let a rich man wax, your car for $2, alone let your truck for $1.	tensor(235.4806)	tensor(256.5988)	Y
50	Getting a poor man to wash your car for $2 is more likely than getting a rich man to wax your truck for $1. A poor man wouldn't wash your car for $2, let alone a rich man wax your truck for $1.	Getting a poor man to wash your car for $2 is more likely than getting a rich man to wax your truck for $1. A poor man wouldn't wash your car for $2, alone let a rich man wax your truck for $1.	tensor(186.7359)	tensor(201.0042)	Y
